iter	Passed	Remaining
0	137	137057
1	138	68897
2	138	46168
3	139	34821
4	140	27997
5	141	23416
6	142	20144
7	142	17689
8	143	15790
9	144	14282
10	144	13034
11	145	11990
12	146	11107
13	146	10351
14	147	9698
15	148	9127
16	149	8626
17	149	8175
18	150	7780
19	151	7418
20	152	7090
21	152	6792
22	153	6520
23	154	6270
24	154	6037
25	155	5827
26	156	5632
27	156	5448
28	157	5279
29	158	5120
30	158	4969
31	159	4831
32	160	4701
33	161	4577
34	161	4460
35	162	4356
36	163	4254
37	164	4154
38	164	4060
39	165	3969
40	166	3884
41	166	3803
42	167	3726
43	168	3652
44	168	3582
45	169	3515
46	170	3451
47	170	3388
48	171	3328
49	172	3271
50	172	3216
51	173	3164
52	174	3115
53	175	3070
54	175	3023
55	176	2979
56	177	2934
57	178	2892
58	178	2851
59	179	2811
60	180	2773
61	181	2741
62	181	2705
63	182	2670
64	183	2636
65	183	2603
66	184	2572
67	185	2541
68	186	2510
69	186	2482
70	187	2454
71	188	2426
72	188	2399
73	189	2372
74	190	2346
75	191	2323
76	191	2299
77	192	2276
78	193	2255
79	194	2234
80	195	2213
81	195	2191
82	196	2167
83	196	2145
84	197	2126
85	198	2107
86	199	2088
87	199	2069
88	200	2051
89	201	2033
90	201	2014
91	202	1996
92	202	1979
93	203	1963
94	204	1946
95	205	1930
96	205	1915
97	206	1900
98	207	1884
99	207	1868
100	208	1853
101	208	1838
102	209	1824
103	210	1810
104	210	1795
105	211	1782
106	212	1769
107	212	1758
108	213	1744
109	214	1732
110	214	1719
111	215	1706
112	215	1694
113	216	1682
114	217	1671
115	217	1659
116	218	1649
117	219	1638
118	219	1628
119	220	1617
120	221	1607
121	221	1595
122	222	1586
123	223	1576
124	223	1566
125	224	1558
126	225	1548
127	225	1538
128	226	1529
129	227	1520
130	227	1511
131	228	1501
132	229	1493
133	229	1484
134	230	1475
135	231	1468
136	231	1460
137	232	1452
138	233	1443
139	233	1435
140	234	1428
141	234	1418
142	235	1411
143	236	1403
144	236	1395
145	237	1389
146	238	1382
147	238	1374
148	239	1367
149	240	1360
150	240	1353
151	241	1346
152	241	1339
153	242	1332
154	243	1326
155	244	1321
156	244	1314
157	245	1308
158	246	1301
159	246	1295
160	247	1287
161	247	1281
162	248	1274
163	248	1269
164	249	1264
165	250	1258
166	251	1252
167	251	1246
168	252	1241
169	253	1235
170	253	1229
171	254	1224
172	254	1218
173	255	1214
174	256	1209
175	257	1204
176	257	1199
177	258	1193
178	259	1188
179	259	1183
180	260	1178
181	261	1173
182	261	1168
183	262	1164
184	263	1160
185	263	1155
186	264	1150
187	265	1145
188	265	1141
189	266	1136
190	267	1131
191	267	1127
192	268	1122
193	269	1118
194	269	1114
195	270	1110
196	271	1105
197	271	1101
198	272	1097
199	273	1093
200	274	1089
201	274	1085
202	275	1081
203	276	1077
204	276	1072
205	277	1068
206	277	1064
207	278	1060
208	279	1056
209	279	1052
210	280	1048
211	281	1044
212	281	1041
213	282	1037
214	283	1033
215	283	1029
216	284	1025
217	284	1021
218	285	1018
219	286	1014
220	286	1010
221	287	1007
222	288	1004
223	288	1000
224	289	996
225	290	993
226	290	989
227	291	986
228	292	983
229	292	979
230	293	976
231	294	973
232	294	970
233	295	967
234	296	963
235	296	960
236	297	957
237	297	954
238	298	950
239	299	947
240	300	944
241	300	941
242	301	938
243	301	935
244	302	932
245	303	929
246	303	926
247	304	923
248	305	920
249	305	917
250	306	915
251	307	912
252	307	909
253	308	906
254	309	903
255	309	900
256	310	897
257	311	894
258	311	891
259	312	889
260	313	886
261	313	883
262	314	880
263	314	877
264	315	875
265	316	872
266	316	869
267	317	866
268	318	864
269	318	861
270	319	859
271	320	856
272	320	854
273	321	851
274	321	848
275	322	846
276	323	843
277	323	841
278	324	838
279	325	837
280	326	834
281	326	832
282	327	829
283	328	827
284	328	824
285	329	822
286	330	820
287	330	817
288	331	815
289	332	813
290	332	811
291	333	809
292	334	806
293	334	804
294	335	802
295	336	799
296	336	797
297	337	795
298	338	793
299	339	791
300	339	789
301	340	786
302	341	784
303	341	782
304	342	779
305	342	777
306	343	775
307	344	773
308	345	771
309	345	769
310	346	767
311	346	764
312	347	762
313	348	760
314	348	758
315	349	756
316	350	754
317	350	752
318	351	750
319	352	748
320	352	746
321	353	743
322	353	741
323	354	739
324	355	737
325	355	735
326	356	733
327	357	732
328	357	730
329	358	727
330	359	725
331	359	723
332	360	721
333	361	719
